wb_indicator_name,wb_indicator_api_code,wb_indicator_type,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('"
Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Agricultural raw materials exports (% of merchandise exports)','TX.VAL.AGRI.ZS.UN','RGN');"
Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Agricultural raw materials imports (% of merchandise imports)','TM.VAL.AGRI.ZS.UN','RGN');"
"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Agriculture, value added (% of GDP)','NV.AGR.TOTL.ZS','RGN');"
Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank capital to assets ratio (%)','FB.BNK.CAPA.ZS','RGN');"
Bank capital to total assets (%),GFDD.SI.03,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank capital to total assets (%)','GFDD.SI.03','RGN');"
Bank cost to income ratio (%),GFDD.EI.07,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank cost to income ratio (%)','GFDD.EI.07','RGN');"
Bank credit to bank deposits (%),GFDD.SI.04,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank credit to bank deposits (%)','GFDD.SI.04','RGN');"
Bank deposits to GDP (%),GFDD.OI.02,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank deposits to GDP (%)','GFDD.OI.02','RGN');"
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank liquid reserves to bank assets ratio (%)','FD.RES.LIQU.AS.ZS','RGN');"
Bank net interest margin (%),GFDD.EI.01,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank net interest margin (%)','GFDD.EI.01','RGN');"
Bank nonperforming loans to gross loans (%),GFDD.SI.02,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank nonperforming loans to gross loans (%)','GFDD.SI.02','RGN');"
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank regulatory capital to risk-weighted assets (%)','GFDD.SI.05','RGN');"
"Bank return on assets (%, after tax)",GFDD.EI.05,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank return on assets (%, after tax)','GFDD.EI.05','RGN');"
"Bank return on assets (%, before tax)",GFDD.EI.09,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank return on assets (%, before tax)','GFDD.EI.09','RGN');"
"Bank return on equity (%, after tax)",GFDD.EI.06,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank return on equity (%, after tax)','GFDD.EI.06','RGN');"
"Bank return on equity (%, before tax)",GFDD.EI.10,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Bank return on equity (%, before tax)','GFDD.EI.10','RGN');"
Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Broad money (% of GDP)','FM.LBL.BMNY.GD.ZS','RGN');"
Broad money growth (annual %),FM.LBL.BMNY.ZG,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Broad money growth (annual %)','FM.LBL.BMNY.ZG','RGN');"
Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Broad money to total reserves ratio','FM.LBL.BMNY.IR.ZS','RGN');"
Central bank assets to GDP (%),GFDD.DI.06,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Central bank assets to GDP (%)','GFDD.DI.06','RGN');"
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Central government debt, total (% of GDP)','GC.DOD.TOTL.GD.ZS','RGN');"
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Current account balance (% of GDP)','BN.CAB.XOKA.GD.ZS','RGN');"
Deposit interest rate (%),FR.INR.DPST,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Deposit interest rate (%)','FR.INR.DPST','RGN');"
Deposit money banks' assets to GDP (%),GFDD.DI.02,RGN,"insert into wb_indicator (wb_indicator_name,wb_indicator_api_code,wb_indicator_type) values('Deposit money banks' assets to GDP (%)','GFDD.DI.02','RGN');"
