cmn_code,country_sub_continent_code,,
LA,35,update cmn_region set sub_continent_id=35 where id='LA';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA',"
LV,154,update cmn_region set sub_continent_id=154 where id='LV';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV',"
LB,145,update cmn_region set sub_continent_id=145 where id='LB';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB',"
LS,18,update cmn_region set sub_continent_id=18 where id='LS';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS',"
LR,11,update cmn_region set sub_continent_id=11 where id='LR';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR',"
LY,15,update cmn_region set sub_continent_id=15 where id='LY';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY',"
LT,154,update cmn_region set sub_continent_id=154 where id='LT';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT',"
LU,155,update cmn_region set sub_continent_id=155 where id='LU';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU',"
MK,39,update cmn_region set sub_continent_id=39 where id='MK';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK',"
MG,14,update cmn_region set sub_continent_id=14 where id='MG';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG',"
MW,14,update cmn_region set sub_continent_id=14 where id='MW';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW',"
MY,35,update cmn_region set sub_continent_id=35 where id='MY';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY',"
ML,11,update cmn_region set sub_continent_id=11 where id='ML';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML',"
MT,39,update cmn_region set sub_continent_id=39 where id='MT';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT',"
MR,11,update cmn_region set sub_continent_id=11 where id='MR';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR',"
MU,14,update cmn_region set sub_continent_id=14 where id='MU';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU',"
MX,13,update cmn_region set sub_continent_id=13 where id='MX';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX',"
MD,151,update cmn_region set sub_continent_id=151 where id='MD';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD',"
MN,30,update cmn_region set sub_continent_id=30 where id='MN';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN',"
ME,39,update cmn_region set sub_continent_id=39 where id='ME';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME',"
MA,15,update cmn_region set sub_continent_id=15 where id='MA';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA',"
MZ,14,update cmn_region set sub_continent_id=14 where id='MZ';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ',"
MM,35,update cmn_region set sub_continent_id=35 where id='MM';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM',"
NA,18,update cmn_region set sub_continent_id=18 where id='NA';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA',"
NP,34,update cmn_region set sub_continent_id=34 where id='NP';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP',"
NL,155,update cmn_region set sub_continent_id=155 where id='NL';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL',"
NZ,53,update cmn_region set sub_continent_id=53 where id='NZ';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ',"
NI,13,update cmn_region set sub_continent_id=13 where id='NI';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI',"
NE,11,update cmn_region set sub_continent_id=11 where id='NE';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE',"
NG,11,update cmn_region set sub_continent_id=11 where id='NG';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG',"
NO,154,update cmn_region set sub_continent_id=154 where id='NO';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO',"
OM,145,update cmn_region set sub_continent_id=145 where id='OM';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM',"
PK,34,update cmn_region set sub_continent_id=34 where id='PK';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK',"
PA,13,update cmn_region set sub_continent_id=13 where id='PA';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA',"
PG,54,update cmn_region set sub_continent_id=54 where id='PG';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG',"
PY,5,update cmn_region set sub_continent_id=5 where id='PY';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY',"
PE,5,update cmn_region set sub_continent_id=5 where id='PE';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE',"
PH,35,update cmn_region set sub_continent_id=35 where id='PH';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH',"
PL,151,update cmn_region set sub_continent_id=151 where id='PL';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL',"
PT,39,update cmn_region set sub_continent_id=39 where id='PT';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT',"
